Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population,
NAC        ,North America and the Caribbean,USA,United States of America,2020,Male,Age00,[0-0],2.00000000,0.01841790,,0.09806950,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age01_04,[01-4],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age05_09,[05-9],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age15_19,[15-19],1.00000000,0.01117194,,0.00922993,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age20_24,[20-24],41.00000000,0.23384475,,0.36210342,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age25_29,[25-29],145.00000000,0.61560669,,1.19396054,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age30_34,[30-34],222.00000000,0.78506259,,1.89702828,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age35_39,[35-39],256.00000000,0.79835340,,2.35751949,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age40_44,[40-44],270.00000000,0.74118810,,2.66835808,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age45_49,[45-49],343.00000000,0.71229804,,3.44063190,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age50_54,[50-54],494.00000000,0.68907797,,4.78703740,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age55_59,[55-59],652.00000000,0.57364068,,6.09228219,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age60_64,[60-64],541.00000000,0.34356405,,5.38314564,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age65_69,[65-69],394.00000000,0.21561159,,4.65430889,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age70_74,[70-74],259.00000000,0.12376770,,3.89736302,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age75_79,[75-79],137.00000000,0.06349913,,3.16617618,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age80_84,[80-84],54.00000000,0.02533938,,1.92470621,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age85_over,[85+],27.00000000,0.00683683,,1.10583903,
NAC,North America and the Caribbean,USA,United States of America,2020,Male,Age_unknown,[Unknown],0.00000000,0.00000000,,,
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age00,[0-0],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age01_04,[01-4],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age05_09,[05-9],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age15_19,[15-19],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age20_24,[20-24],11.00000000,0.18318068,,0.10058510,
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age25_29,[25-29],41.00000000,0.44847954,,0.35070087,
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age30_34,[30-34],60.00000000,0.47953964,,0.52863599,
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age35_39,[35-39],101.00000000,0.63065876,,0.93893047,
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age40_44,[40-44],143.00000000,0.71567990,,1.40526495,
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age45_49,[45-49],158.00000000,0.55875800,,1.56672995,
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age50_54,[50-54],170.00000000,0.39515585,,1.65719919,
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age55_59,[55-59],194.00000000,0.27886385,,1.78963405,
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age60_64,[60-64],155.00000000,0.15522663,,1.45961248,
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age65_69,[65-69],116.00000000,0.09381166,,1.24014393,
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age70_74,[70-74],64.00000000,0.04028806,,0.83016142,
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age75_79,[75-79],39.00000000,0.02137689,,0.72212219,
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age80_84,[80-84],12.00000000,0.00569298,,0.32826537,
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age85_over,[85+],13.00000000,0.00210395,,0.30628629,
NAC,North America and the Caribbean,USA,United States of America,2020,Female,Age_unknown,[Unknown],0.00000000,0.00000000,,,
