Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population",
NAC,North America and the Caribbean,USA,United States of America,2015,Male,Age00,[0-0],1.00000000,0.00768758,,0.05196384,
NAC,North America and the Caribbean,USA,United States of America,2015,Male,Age01_04,[01-4],1.00000000,0.04384042,,0.01209452,
NAC,North America and the Caribbean,USA,United States of America,2015,Male,Age05_09,[05-9],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2015,Male,Age10_14,[10-14],1.00000000,0.05630631,,0.00942972,
NAC,North America and the Caribbean,USA,United States of America,2015,Male,Age15_19,[15-19],2.00000000,0.02782802,,0.01829293,
NAC,North America and the Caribbean,USA,United States of America,2015,Male,Age20_24,[20-24],62.00000000,0.40899796,,0.52504281,
NAC,North America and the Caribbean,USA,United States of America,2015,Male,Age25_29,[25-29],173.00000000,1.00739533,,1.50672583,
NAC,North America and the Caribbean,USA,United States of America,2015,Male,Age30_34,[30-34],207.00000000,1.11242476,,1.92637148,
NAC,North America and the Caribbean,USA,United States of America,2015,Male,Age35_39,[35-39],287.00000000,1.42149579,,2.84415995,
NAC,North America and the Caribbean,USA,United States of America,2015,Male,Age40_44,[40-44],404.00000000,1.58555730,,4.02883810,
NAC,North America and the Caribbean,USA,United States of America,2015,Male,Age45_49,[45-49],646.00000000,1.66464813,,6.14972076,
NAC,North America and the Caribbean,USA,United States of America,2015,Male,Age50_54,[50-54],869.00000000,1.30206773,,7.85023805,
NAC,North America and the Caribbean,USA,United States of America,2015,Male,Age55_59,[55-59],844.00000000,0.86856296,,7.96110754,
NAC,North America and the Caribbean,USA,United States of America,2015,Male,Age60_64,[60-64],576.00000000,0.47819084,,6.30401714,
NAC,North America and the Caribbean,USA,United States of America,2015,Male,Age65_69,[65-69],369.00000000,0.26811015,,4.97511499,
NAC,North America and the Caribbean,USA,United States of America,2015,Male,Age70_74,[70-74],185.00000000,0.12783571,,3.61415444,
NAC,North America and the Caribbean,USA,United States of America,2015,Male,Age75_79,[75-79],97.00000000,0.06310215,,2.64295743,
NAC,North America and the Caribbean,USA,United States of America,2015,Male,Age80_84,[80-84],53.00000000,0.03115320,,2.19976525,
NAC,North America and the Caribbean,USA,United States of America,2015,Male,Age85_over,[85+],19.00000000,0.00590605,,0.87863100,
NAC,North America and the Caribbean,USA,United States of America,2015,Male,Age_unknown,[Unknown],0.00000000,0.00000000,,,
NAC,North America and the Caribbean,USA,United States of America,2015,Female,Age00,[0-0],1.00000000,0.00957213,,0.05438811,
NAC,North America and the Caribbean,USA,United States of America,2015,Female,Age01_04,[01-4],1.00000000,0.05938242,,0.01265150,
NAC,North America and the Caribbean,USA,United States of America,2015,Female,Age05_09,[05-9],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2015,Female,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
NAC,North America and the Caribbean,USA,United States of America,2015,Female,Age15_19,[15-19],2.00000000,0.06668890,,0.01908965,
NAC,North America and the Caribbean,USA,United States of America,2015,Female,Age20_24,[20-24],34.00000000,0.66032239,,0.30143092,
NAC,North America and the Caribbean,USA,United States of America,2015,Female,Age25_29,[25-29],45.00000000,0.66914498,,0.40648714,
NAC,North America and the Caribbean,USA,United States of America,2015,Female,Age30_34,[30-34],104.00000000,1.15414493,,0.98136723,
NAC,North America and the Caribbean,USA,United States of America,2015,Female,Age35_39,[35-39],166.00000000,1.47857843,,1.64255248,
NAC,North America and the Caribbean,USA,United States of America,2015,Female,Age40_44,[40-44],198.00000000,1.22290161,,1.96133942,
NAC,North America and the Caribbean,USA,United States of America,2015,Female,Age45_49,[45-49],234.00000000,0.91513492,,2.25862207,
NAC,North America and the Caribbean,USA,United States of America,2015,Female,Age50_54,[50-54],278.00000000,0.64089264,,2.51316814,
NAC,North America and the Caribbean,USA,United States of America,2015,Female,Age55_59,[55-59],241.00000000,0.38611276,,2.19864833,
NAC,North America and the Caribbean,USA,United States of America,2015,Female,Age60_64,[60-64],163.00000000,0.20966788,,1.66358733,
NAC,North America and the Caribbean,USA,United States of America,2015,Female,Age65_69,[65-69],105.00000000,0.10730491,,1.26728211,
NAC,North America and the Caribbean,USA,United States of America,2015,Female,Age70_74,[70-74],51.00000000,0.04441851,,0.84004103,
NAC,North America and the Caribbean,USA,United States of America,2015,Female,Age75_79,[75-79],24.00000000,0.01755849,,0.53962173,
NAC,North America and the Caribbean,USA,United States of America,2015,Female,Age80_84,[80-84],10.00000000,0.00564863,,0.29896582,
NAC,North America and the Caribbean,USA,United States of America,2015,Female,Age85_over,[85+],12.00000000,0.00223050,,0.29562279,
NAC,North America and the Caribbean,USA,United States of America,2015,Female,Age_unknown,[Unknown],0.00000000,0.00000000,,,
